date,horizon,n,mean,median,sd,iqr,range,full_cross_section
2023-09-20,LR,18,2.7569444444444446,2.5,0.4611132028065008,0.40625,1.375,True
2023-12-13,2023,19,5.375,5.375,0.0,0.0,0.0,True
2023-12-13,2024,19,4.703947368421052,4.625,0.3540427380808871,0.375,1.5,True
2023-12-13,2025,19,3.611842105263158,3.625,0.6095386748368667,0.5,3.0,True
2023-12-13,2026,19,2.9473684210526314,2.875,0.566783093248417,0.5,2.5,True
2023-12-13,LR,18,2.7291666666666665,2.5,0.41718717488543305,0.34375,1.375,True
2024-03-20,2024,19,4.809210526315789,4.625,0.2670760938182163,0.25,1.0,True
2024-03-20,2025,19,3.7828947368421053,3.875,0.5573110153828256,0.25,2.75,True
2024-03-20,2026,19,3.0657894736842106,3.125,0.5355279322360189,0.25,2.5,True
2024-03-20,LR,18,2.8125,2.5625,0.4108975609024171,0.5,1.375,True
2024-06-12,2024,19,5.072368421052632,5.125,0.1915818391915926,0.25,0.5,True
2024-06-12,2025,19,4.1644736842105265,4.125,0.4747794355965452,0.25,2.5,True
2024-06-12,2026,19,3.2960526315789473,3.125,0.5322039056883339,0.375,2.5,True
2024-06-12,LR,19,2.9078947368421053,2.75,0.4152561536331448,0.5625,1.375,True
2024-09-18,2024,19,4.506578947368421,4.375,0.1879323270669171,0.25,0.75,True
2024-09-18,2025,19,3.348684210526316,3.375,0.31303624350974524,0.375,1.25,True
2024-09-18,2026,19,3.085526315789474,2.875,0.40768245749551757,0.5,1.5,True
2024-09-18,2027,19,3.0592105263157894,2.875,0.4356038251907065,0.625,1.5,True
2024-09-18,LR,19,2.9934210526315788,2.875,0.41650504714064246,0.6875,1.375,True
2024-12-18,2024,19,4.427631578947368,4.375,0.10192061437387939,0.0,0.25,True
2024-12-18,2025,19,3.835526315789474,3.875,0.2722126429681211,0.125,1.25,True
2024-12-18,2026,19,3.3421052631578947,3.375,0.38865935494057713,0.5,1.5,True
2024-12-18,2027,19,3.210526315789474,3.125,0.40566026340705247,0.625,1.5,True
2024-12-18,LR,19,3.111842105263158,3.0,0.4251445900369345,0.625,1.5,True
2025-03-19,2025,19,4.006578947368421,3.875,0.23463887500167116,0.25,0.75,True
2025-03-19,2026,19,3.4539473684210527,3.375,0.3808977585823718,0.25,1.25,True
2025-03-19,2027,19,3.2434210526315788,3.125,0.3749422854940791,0.625,1.25,True
2025-03-19,LR,19,3.111842105263158,3.0,0.42125817351531897,0.625,1.375,True
2025-06-18,2025,19,4.059210526315789,3.875,0.2670760938182163,0.5,0.75,True
2025-06-18,2026,19,3.5065789473684212,3.625,0.3749422854940791,0.5,1.5,True
2025-06-18,2027,19,3.2697368421052633,3.375,0.36559063130131064,0.5,1.25,True
2025-06-18,LR,19,3.111842105263158,3.0,0.42125817351531897,0.625,1.375,True
2025-09-17,2025,19,3.8092105263157894,3.625,0.3328713326493031,0.5,1.5,True
2025-09-17,2026,19,3.2960526315789473,3.375,0.38943812070917744,0.625,1.25,True
2025-09-17,2027,19,3.151315789473684,3.125,0.396487346666299,0.5,1.5,True
2025-09-17,2028,19,3.1315789473684212,3.125,0.38999342987576135,0.5,1.25,True
2025-09-17,LR,19,3.1184210526315788,3.0,0.37274251247934986,0.5625,1.25,True
2025-12-10,2025,19,3.6907894736842106,3.625,0.13674085322912188,0.25,0.5,True
2025-12-10,2026,19,3.2960526315789473,3.375,0.444651190755679,0.5,1.75,True
2025-12-10,2027,19,3.164473684210526,3.125,0.39953227501813093,0.5,1.5,True
2025-12-10,2028,19,3.1447368421052633,3.125,0.38530395958806113,0.5,1.25,True
2025-12-10,LR,19,3.1315789473684212,3.0,0.3638104358604866,0.4375,1.25,True
2026-03-18,2026,19,3.348684210526316,3.375,0.2912624160681402,0.375,1.0,True
2026-03-18,2027,19,3.1907894736842106,3.125,0.36130342678278893,0.375,1.5,True
2026-03-18,2028,19,3.1907894736842106,3.125,0.332871332649303,0.375,1.25,True
2026-03-18,LR,19,3.164473684210526,3.125,0.3370065388122552,0.375,1.25,True
